Name|Influence|Ventures|Connections|Quotes|Image
Peter Thiel|Friends with Palmer Luckey and Sam Altman; Hired Michael Kratsios and David Sacks; Recommended Balaji Srinivasan for FDA Commissioner; Hired JD Vance; Donated $15M to JD Vance|SpaceX; Anduril; Palantir; Meta; Rumble; PayPal; Praxis; Urbit; LinkedIn; OpenAI|Palmer Luckey; Sam Altman; Michael Kratsios; David Sacks; Balaji Srinivasan; JD Vance|"I no longer believe that freedom and democracy are compatible. | One suspects that democracy is exhausted, and that we have to ask some questions very far outside the Overton window. | If we want to increase freedom, we want to increase the number of countries. | The education of the average American has become a fool's errand. | Since 1920, the vast increase in welfare beneficiaries and the extension of the franchise to women have rendered the notion of 'capitalist democracy' into an oxymoron. | Mordor is this technological civilization based on reason and science. Outside of Mordor, it's all sort of mystical and environmental and nothing works. | There are quite a lot of people who think [a new nation] is not possible. That's a good thing. We don't need to really worry about those people very much, because since they don't think it's possible they won't take us very seriously. And they will not actually try to stop us until it's too late."|/public/images/thiel.jpg
Curtis Yarvin|Friends with Peter Thiel, Marc Andreessen, Brian Armstrong, and Balaji Srinivasan; Recommended strategies to Donald Trump for gutting civil service; Designed 'RAGE' blueprint for Elon Musk's 'DOGE'; Wrote 'The Butterfly Revolution'|Urbit|Peter Thiel; Marc Andreessen; Brian Armstrong; Balaji Srinivasan; JD Vance; Donald Trump; Elon Musk|"Democracy is a dangerous, malignant form of government. | We need to topple the system and return to monarchy. | If Americans want to change their government, they need to get rid of dictator phobia. | I think that actually the support of the democratic public is a cipher. All you need is command of the police. | I've been coaching Peter Thiel… he's fully enlightened, just plays it very carefully. | You're spinning up this new executive branch and the powers of your new executive branch are effectively unlimited. | If you agree with me that democracy is the problem, not the solution, there's nothing wrong with a military coup. | The best alternative to genociding the undesirables is permanent solitary confinement, waxed like a bee larva into a cell which is sealed except for emergencies. | The deep right is the faction of truth. The deep right is only interested in paths to absolute power. The political goal of the deep right is straightforward: replace the regime. | The hard part is to take control of the streets. How can you fence off a street and make clear that it's under your control? Take total control of your neighborhood, push out all blues. | Convince people the system is irreparable. Ignore the courts, and move fast. Replace everyone. Nationalize the police. Dissolve city and state elections. Shut down media and universities. | The most profitable disposition for dealing with the undesirables is to convert them into biodiesel. Okay, just kidding. …the ideal solution achieves the same result as mass murder without any of the moral stigma. | Trump himself… will not be the CEO. He will be the chairman of the board—he will select the CEO (an experienced executive). This process, which obviously has to be televised, will be complete by his inauguration—at which the transition to the next regime will start immediately. | As the crappy governments we inherited from history are smashed, they should be replaced by a global spider web of tens, even hundreds of thousands of sovereign and independent mini-countries, each governed by its own joint-stock corporation, without regard to the resident's opinions."|/public/images/yarvin.jpg
Donald Trump|Appointed Steve Bannon as White House Chief Strategist; Appointed Michael Kratsios as US Chief Technology Officer; Appointed David Sacks as AI and Crypto Czar; Appointed Russell Vought as OMB Director; Appointed Elon Musk to run DOGE; Awarded $1B+ to Palantir for mass surveillance; Awarded $22B+ to Anduril for autonomous weapons; Awarded $22B+ to SpaceX for classified satellites; Moved Truth Social to Rumble servers; President of the United States||Steve Bannon; Michael Kratsios; David Sacks; Russell Vought; Elon Musk; Palmer Luckey; Peter Thiel; JD Vance|"Elon knows those computers better than anybody. Those vote-counting computers. And we ended up winning. | Almost one third of the landmass of the United States is owned by the federal government… we should hold a contest to charter 10 new cities and award them to the best new proposals. | Home-growns are next. The home-growns. You gotta build about five more places. [The El Salvador prison] is not big enough."|/public/images/trump.jpg
Balaji Srinivasan|Worked for Marc Andreessen and Brian Armstrong; Friends with Curtis Yarvin and Steve Bannon; Authored 'The Network State'|Coinbase; Praxis|Marc Andreessen; Brian Armstrong; Curtis Yarvin; Steve Bannon|"Silicon Valley's ultimate exit, it basically means build an opt-in society, ultimately outside the US, run by technology. | What I'm really calling for is something like Tech Zionism, a movement supported by a global network."|/public/images/srinivasan.jpg
Kevin Roberts|Architect of Project 2025; Hired Russell Vought; Friends with Russell Vought, Steve Bannon, and JD Vance|Heritage Foundation|Russell Vought; Steve Bannon; JD Vance|"We are in the process of the second American Revolution, which will remain bloodless if the left allows it to be. | It's time for a conservatism of fire, to burn it down and steward once again the natural order of the world."|/public/images/roberts.jpg
JD Vance|Worked for Peter Thiel; Influenced by the writings of Curtis Yarvin; Contributed to Kevin Roberts' book; Vice President of the United States|Anduril; Rumble|Peter Thiel; Curtis Yarvin; Kevin Roberts; Donald Trump; David Sacks|"There's this guy, Curtis Yarvin, who's written about some of these things [we want to do]. | [Peter Thiel] was possibly the smartest person I'd ever met. | So much of what we want to do in this movement in this country, I think, are fundamentally dependent on going through a set of very hostile institutions. | It's time to circle the wagons and load the muskets. | Fire every civil servant in the administrative state."|/public/images/vance.jpg
Russell Vought|Contributed to Project 2025; Worked for Kevin Roberts; Friends with Kevin Roberts; Appointed OMB Director|Heritage Foundation|Kevin Roberts; Donald Trump|"Trump is very supportive of what we do. | The president has the ability, both along the border and elsewhere, to maintain law and order with the military. | We're secretly drafting hundreds of executive orders. We're creating shadow agencies. | When [federal employees] wake up in the morning, we want them to not want to go to work, because they are increasingly viewed as the villains. We want their funding to be shut down… we want to put them in trauma."|/public/images/vought.jpg
Dryden Brown|Founded Praxis; Attempted to buy Greenland; Asked Donald Trump to acquire Greenland for Praxis|Praxis|Donald Trump|"The next global superpower will be a network state. | We need hot girls to move to our new nation. | European and western beauty standards are where the civilized world has always found success… beauty is when two people, themselves of beauty, form a union to create more beautiful life. | We shall build an empire where true power flows from heroic courage and alignment with the divine order. | I pledge allegiance to the Flag of the Nation of Praxis, and to the Values for which it stands, one nation under God, indivisible, with vitality for all."|/public/images/brown.jpg
Elon Musk|Donated $280M+ to Donald Trump and other candidates; Appointed to run DOGE|SpaceX; PayPal; X; OpenAI|Donald Trump; Peter Thiel|"If you want to steal an election all you have to do is change one line of code. | Those who break the law will be arrested, and that includes mayors. | A republic of high status males is best for decision making. | I think it's a false dichotomy to look at government and industry as separate. Government is the ultimate corporation."|/public/images/musk.jpg
Marc Andreessen|Friends with Curtis Yarvin; Hired Balaji Srinivasan; Funded Elon Musk's takeover of Twitter; Donated $80M+ to Donald Trump and pro‑Trump PACs|LinkedIn; Meta; X; Anduril; Coinbase; Praxis|Curtis Yarvin; Balaji Srinivasan; Elon Musk; Donald Trump|"If you want to replace the elite that you have today, what you need to do is, you need to have a better elite. And there's a way to do this. It's been done before. | England will greet us as liberators."|/public/images/andreessen.jpg
Steve Bannon|Friends with Balaji Srinivasan and Kevin Roberts; Used Cambridge Analytica to influence the 2016 election; White House Chief Strategist|Cambridge Analytica|Balaji Srinivasan; Kevin Roberts; Donald Trump|"Balaji Srinivasan and the network state — let's talk about that. They're not weird. | We're taking action. We're taking over school boards. We're taking over the Republican Party."|/public/images/bannon.jpg
Palmer Luckey|Worked for Mark Zuckerberg; Friends with Peter Thiel; Brother‑in‑law to Congressman Matt Gaetz; Donated $1M+ to Donald Trump and other candidates|Meta; Anduril|Mark Zuckerberg; Peter Thiel; Matt Gaetz; Donald Trump|"Societies have always needed a warrior class that is excited about enacting violence on others… you need people like me who are sick in that way."|/public/images/luckey.jpg
David Sacks|Worked for Peter Thiel; Friends with JD Vance; Donated $1M to JD Vance; Raised $15M for Donald Trump; AI & Crypto Czar|SpaceX; PayPal; Palantir; Meta|Peter Thiel; JD Vance; Donald Trump||/public/images/sacks.jpg
